ID,Name,State,City,Skills,Qualifications,Year_of_Study,GPA,Rural_or_Urban,First_Time_Applicant
1,Rajeev Ranjan,Karnataka,Bengaluru,"Social Work, Teaching, Training",BA,3rd,6.99,Rural,No
2,Manish Yadav,Uttar Pradesh,Lucknow,"Accounting, Excel, Business Strategy",MBA,Postgraduate,9.35,Rural,No
3,Shruti Pandey,Karnataka,Bengaluru,"Accounting, Business Strategy, Financial Analysis",MBA,Graduate,9.86,Rural,No
4,Aditya Verma,Maharashtra,Pune,"Public Health, Lab Analysis, Nursing",MBA,Postgraduate,8.52,Urban,Yes
5,Siddharth Khanna,Assam,Guwahati,"Policy Analysis, Drafting, Legal Research",Diploma,3rd,7.39,Rural,No
6,Sameer Qureshi,Maharashtra,Pune,"Lab Analysis, Nursing, Public Health",BA,4th,9.87,Rural,Yes
7,Abhishek Rawat,Madhya Pradesh,Indore,"Digital Marketing, Social Media, SEO",BA,2nd,8.12,Rural,No
8,Diya Nair,Himachal Pradesh,Shimla,"Legal Research, Drafting, Policy Analysis",B.Com,3rd,6.71,Urban,No
9,Lakshya Kapoor,West Bengal,Kolkata,"Taxation, Financial Analysis, Excel",MBA,2nd,7.81,Rural,Yes
10,Sameer Qureshi,Rajasthan,Jaipur,"Public Health, Lab Analysis, Nursing",B.Tech,Graduate,6.13,Urban,Yes
11,Ashish Chauhan,Haryana,Gurgaon,"Financial Analysis, Business Strategy, Taxation",Medical,Graduate,6.27,Urban,Yes
12,Vihaan Gupta,Maharashtra,Mumbai,"SEO, Copywriting, Social Media",B.Sc,4th,8.73,Rural,No
13,Gayatri Pillai,Gujarat,Ahmedabad,"Digital Marketing, Social Media, Market Research",Diploma,Postgraduate,9.56,Urban,Yes
14,Sneha Bansal,Jharkhand,Ranchi,"Taxation, Excel, Accounting",B.Sc,Postgraduate,6.34,Rural,Yes
15,Gayatri Pillai,Kerala,Kochi,"Market Research, SEO, Digital Marketing",Diploma,Graduate,7.24,Urban,Yes
16,Nisha Verma,Uttar Pradesh,Lucknow,"Teaching, Counselling, Social Work",B.Sc,4th,9.46,Urban,Yes
17,Nisha Verma,Uttar Pradesh,Lucknow,"Training, Social Work, Counselling",Law,4th,7.75,Urban,No
18,Aarav Sharma,Punjab,Amritsar,"Public Health, Lab Analysis, Nursing",B.Com,1st,7.88,Urban,No
19,Siddharth Khanna,Madhya Pradesh,Indore,"Graphic Design, Video Editing, UI/UX",B.Com,4th,9.17,Rural,Yes
20,Pallavi Reddy,Himachal Pradesh,Shimla,"Legal Research, Drafting, Policy Analysis",B.Tech,4th,6.58,Rural,No
21,Pooja Agarwal,Rajasthan,Jaipur,"Web Development, SQL, Python",MBA,3rd,9.06,Urban,Yes
22,Ashish Chauhan,Delhi,New Delhi,"Web Development, Machine Learning, Python",B.Com,2nd,7.97,Rural,No
23,Ishita Roy,Madhya Pradesh,Indore,"Photoshop, UI/UX, Video Editing",Law,2nd,6.45,Rural,No
24,Riddhi Deshmukh,Kerala,Kochi,"Lab Analysis, Nursing, Public Health",BBA,4th,6.94,Rural,Yes
25,Pallavi Reddy,Madhya Pradesh,Indore,"Financial Analysis, Accounting, Auditing",Medical,3rd,9.47,Urban,No
26,Meera Kulkarni,Kerala,Kochi,"Java, Web Development, SQL",BA,4th,9.85,Urban,Yes
27,Priya Jha,Telangana,Hyderabad,"SEO, Copywriting, Social Media",MBA,2nd,8.92,Rural,No
28,Ishita Roy,Rajasthan,Jaipur,"Social Media, Market Research, Content Writing",B.Sc,Postgraduate,7.73,Urban,Yes
29,Lakshya Kapoor,Maharashtra,Mumbai,"Teaching, Social Work, Training",M.Com,Graduate,6.88,Urban,Yes
30,Manish Yadav,Karnataka,Bengaluru,"Lab Analysis, Public Health, Nursing",B.Tech,4th,6.15,Rural,No
31,Aditya Verma,Assam,Guwahati,"Digital Marketing, Content Writing, Market Research",BA,1st,6.43,Urban,No
32,Siddharth Khanna,Madhya Pradesh,Indore,"Taxation, Accounting, Financial Analysis",BBA,2nd,7.2,Urban,Yes
33,Sneha Bansal,Gujarat,Ahmedabad,"Data Analysis, Web Development, Machine Learning",B.Tech,3rd,8.14,Urban,Yes
34,Yash Tiwari,Jharkhand,Ranchi,"SQL, Data Analysis, Java",MBA,Postgraduate,7.44,Rural,No
35,Sanya Singh,Uttar Pradesh,Lucknow,"Policy Analysis, Drafting, Legal Research",MBA,Graduate,9.35,Urban,No
36,Ritika Joshi,Odisha,Bhubaneswar,"Copywriting, Market Research, Digital Marketing",M.Com,Graduate,9.85,Urban,No
37,Omkar Patil,Bihar,Patna,"Graphic Design, UI/UX, Video Editing",M.Com,2nd,7.04,Urban,Yes
38,Niharika Chauhan,Punjab,Amritsar,"Graphic Design, Video Editing, UI/UX",Law,3rd,6.9,Rural,No
39,Karan Malhotra,Maharashtra,Mumbai,"Drafting, Policy Analysis, Legal Research",BBA,3rd,9.39,Rural,Yes
40,Ankit Mehta,Uttar Pradesh,Lucknow,"Python, Machine Learning, Data Analysis",M.Com,4th,9.78,Urban,Yes
41,Gayatri Pillai,Madhya Pradesh,Indore,"Taxation, Accounting, Financial Analysis",BA,3rd,9.85,Rural,Yes
42,Deepak Soni,Madhya Pradesh,Indore,"Content Writing, Copywriting, Market Research",B.Com,1st,9.67,Urban,Yes
43,Ankit Mehta,Uttar Pradesh,Lucknow,"Policy Analysis, Legal Research, Drafting",B.Tech,4th,8.99,Urban,No
44,Vihaan Gupta,West Bengal,Kolkata,"Nursing, Lab Analysis, Public Health",B.Com,2nd,9.41,Rural,No
45,Shruti Pandey,West Bengal,Kolkata,"Drafting, Policy Analysis, Legal Research",BBA,Postgraduate,8.61,Urban,Yes
46,Avni Sharma,Madhya Pradesh,Indore,"Auditing, Financial Analysis, Accounting",M.Com,3rd,9.43,Urban,No
47,Rajeev Ranjan,Maharashtra,Pune,"Nursing, Lab Analysis, Public Health",M.Com,Postgraduate,6.7,Urban,Yes
48,Prisha Anand,Assam,Guwahati,"Copywriting, Social Media, Market Research",BA,3rd,8.36,Urban,No
49,Ritika Joshi,Tamil Nadu,Chennai,"Policy Analysis, Drafting, Legal Research",B.Tech,3rd,8.36,Rural,No
50,Ashish Chauhan,Assam,Guwahati,"Lab Analysis, Nursing, Public Health",Diploma,Postgraduate,9.82,Rural,Yes
51,Manish Yadav,Maharashtra,Pune,"Policy Analysis, Legal Research, Drafting",MBA,Graduate,6.3,Rural,Yes
52,Aman Saxena,Gujarat,Ahmedabad,"Financial Analysis, Auditing, Excel",BBA,Graduate,9.37,Rural,No
53,Neha Chatterjee,Uttar Pradesh,Lucknow,"Counselling, Training, Social Work",Medical,Postgraduate,7.47,Urban,Yes
54,Charvi Singh,West Bengal,Kolkata,"Teaching, Social Work, Counselling",MBA,Graduate,7.67,Rural,Yes
